Id,Category
1103,0
612,0
2416,1
748,1
642,0
2107,0
1370,1
224,1
603,0
899,0
259,1
1939,1
2112,1
982,0
195,1
156,1
1293,1
629,1
1393,1
667,1
1861,1
839,1
444,1
1180,0
619,0
1212,1
2297,1
927,1
1206,1
311,0
75,1
504,1
1227,1
99,1
555,1
1085,1
523,1
1383,1
1854,0
1214,1
457,0
1835,0
9,1
883,0
2169,1
1104,1
1685,1
799,1
1717,1
902,0
254,1
1623,0
1223,0
43,1
1238,0
860,1
519,1
1083,0
685,1
350,1
976,0
1290,0
2363,0
2269,1
1539,1
946,1
565,1
640,0
862,0
975,1
2059,0
1760,0
2242,1
2325,1
1641,0
586,1
2455,1
348,1
295,1
1484,0
143,0
2331,0
553,1
1756,1
366,0
1378,1
101,0
1699,1
878,1
1704,1
1420,1
2257,1
485,0
1097,0
222,0
2134,0
1753,0
849,1
446,1
1051,0
616,1
301,0
1320,1
1606,0
313,0
1033,1
1219,1
2389,0
1486,1
1122,0
2072,0
679,1
2272,1
672,0
244,1
2249,1
1151,0
1794,0
1870,0
726,1
1502,1
1970,0
1604,0
2294,1
116,0
535,1
695,1
1780,0
179,1
2173,0
401,1
5,1
1526,1
1387,0
168,0
145,0
1625,1
1778,1
1920,1
1025,1
1250,0
251,1
587,1
710,0
2147,1
303,0
836,1
821,0
510,0
445,1
552,0
688,1
1408,1
1601,1
1276,0
1400,0
324,0
848,0
1259,1
1102,1
649,1
524,1
674,0
245,1
1415,0
1825,1
20,0
28,0
2485,1
1594,1
1767,1
317,1
2038,0
365,1
998,0
1995,0
742,0
1544,1
913,0
1183,0
218,1
537,1
1339,1
89,1
2125,1
525,1
1706,1
687,1
1041,1
364,1
850,0
1537,1
1001,0
1470,0
375,1
405,1
692,0
1181,0
422,0
1824,1
2097,1
2367,1
554,0
1952,0
1099,1
11,1
2238,1
208,1
752,0
72,1
660,1
1142,0
277,1
423,1
256,1
418,0
228,0
1644,0
1020,0
1997,1
142,0
84,0
1723,0
187,0
1487,0
2478,1
1155,1
2118,1
1125,1
233,1
517,1
231,0
783,0
2395,1
263,1
657,1
871,1
7,1
1315,0
1772,0
130,0
944,0
1657,1
2064,0
176,0
2458,1
2259,0
718,1
697,1
1264,0
1581,1
1270,1
411,0
357,1
722,1
2058,1
459,0
1882,0
522,1
192,1
2037,0
390,0
2119,1
2077,1
2364,0
